2011,,
ACT New Zealand,,
19,"MACKEY, Moana Lynore",Seat Allocation 112
20,"PRASAD, Rajendra",Seat Allocation 115
21,"HUO, Raymond Jianqiang",Seat Allocation 118
22,"BEAUMONT, Carol Ann",
23,"DAVIS, Kelvin Glen",
24,"SEPULONI, Carmel Jean",
25,"BARKER, Richard John",
26,"MAHUTA-COYLE, Deborah Joan",
27,"NASH, Stuart Alexander",
28,"CURRAN, Clare Elizabeth",Dunedin South Electorate
29,"BURNS, Brendon",
30,"HIPKINS, Christopher John",Rimutaka Electorate
31,"SHEARER, David James",Mt Albert Electorate
32,"WOOD, Michael Philip",
33,"TWYFORD, Philip Stoner",Te Atatū Electorate
34,"CHADWICK, Stephanie Anne",
35,"SUTTON, Kate Anna",
36,"MIKA, Jerome",
37,"LEES-GALLOWAY, Iain Francis",Palmerston North Electorate
38,"PAGANI, Josephine Jefcoate",
39,"STEWART, Lynette Merle",
40,"CARTER, Jordan Tracy",
41,"FAAFOI, Kristopher John",Mana Electorate
42,"ROSE, Christine Anne",
43,"ALEXANDER, Glenda Adele",
44,"ZHU, Susan (Xudong)",
45,"TIRIKATENE, Rino",Te Tai Tonga Electorate
46,"SCHOENBERGER-ORGAD, Sehai",
47,"WOODS, Megan Cherie",Wigram Electorate
48,"KEIL, Mea'ole Hans James",
49,"CLARK, David Scott",Dunedin North Electorate
50,"HILLS, Richard Brian",
51,"SUISUIKI, Anahila Lose",
52,"McDOUALL, Hamish Crichton",
53,"TE KANI, Louis Te Whakaotinga",
54,"LOO, Tat Ang",
55,"PEKE-MASON, Soraya Waiata",
56,"BLANCHARD, Julian Malcolm",
57,"FOSTER, Peter Allen Cranleigh",
58,"NEWMAN, Patrick William",
59,"HAYDON-CARR, Julia Bridgit",
60,"BOTT, Michael Robin",
61,"GOLDSMITH, Vivienne Jayne",
62,"BAKULICH, Nicholas Leiloa",
63,"YOO, Chris",
64,"MONKS, Barry Raymond",
65,"KININMONTH, Hugh Gerrard",
66,"KIM, Josephine Yeon Ju",
67,"GILLON, Wendy Paula Kirsty",
68,"DEVOY-HEENA, Carol Rosemary",
69,"CLARK, Benjamin Charles",
70,"WU, Chao-Fu",
Mana,,
1,"HARAWIRA, Hone Pani Tamati Waka Nene",Te Tai Tokerau Electorate
2,"SYKES, Annette Te Imaima",
3,"MINTO, John Bernard",
4,"BRADFORD, Susan",
5,"HARRISON, Misty Hinemoa",
6,"PAPALI'I, James Philip",
7,"McCLUTCHIE, Renata Tawhai",
8,"GREENSILL, Angeline Ngahina",
9,"GARDINER, Jayson Patariki McRae",
10,"COOPER, Richard Shortland",
11,"CLEAVE, Peter",
12,"IRWIN, Valentine",
13,"TIPENE, Tangi Sharon",
14,"REEDY, Keriana Jacqueline Hine",
15,"O'DEA, Patrick John",
16,"PAUL, Roderick Whare",
17,"ROGERS, Grant Thomas",
18,"HUIRAMA-PATUWAI, Nguha",
19,"TUMAI, Barry Edward",
20,"HEREWINI, Ngawai",
Māori Party,,
1,"SHORTLAND, Waihoroi Paraone",
2,"SMITH, Kaapua Te Paea Moko Jamie",
3,"WALSH-TAPIATA, Karen Wheturangi",
4,"POROU, Tina Tangi Whaiora",
5,"BLACK, Te Awanuiarangi Hapi",
6,"MURRAY, Davina Valerie",
7,"TURIA, Tariana",Te Tai Hauāuru Electorate
8,"SHARPLES, Pita Russell",Tāmaki Makaurau Electorate
9,"FLAVELL, Te Ururoa James William Ben",Waiariki Electorate
10,"PEITA, Josephine Bernadette",
11,"TE HURIHANGANUI, Paora",
12,"FLAVELL, Fallyn Rebecca",
13,"CHRISTIE, Daryl",
14,"PHILLIPS, Thomas Tuatu Toihau",
15,"MORRISON, Timothy Aperahama",
16,"NICHOLSON, Charles Tamai",
17,"RICKUS, Louise Aroha",
National Party,,
1,"KEY, John Phillip",Helensville Electorate
2,"ENGLISH, Simon William",Clutha-Southland Electorate
3,"SMITH, Alexander Lockwood",Seat Allocation 88
4,"BROWNLEE, Gerard Anthony",Ilam Electorate
5,"RYALL, Anthony Boyd Williams",Bay of Plenty Electorate
6,"SMITH, Nicolas Rex",Nelson Electorate
7,"COLLINS, Judith Anne",Papakura Electorate
8,"TOLLEY, Anne Merrilyn",East Coast Electorate
9,"FINLAYSON, Christopher Francis",Seat Allocation 89
10,"CARTER, David Cunningham",Seat Allocation 91
11,"McCULLY, Murray Stuart",East Coast Bays Electorate
12,"GROSER, Timothy John",Seat Allocation 93
13,"JOYCE, Steven Leonard",Seat Allocation 95
14,"BENNETT, Paula Lee",Waitakere Electorate
15,"HEATLEY, Philip Reeve",Whangarei Electorate
16,"COLEMAN, Jonathan David",Northcote Electorate
17,"WILKINSON, Catherine Joan",Waimakariri Electorate
18,"PARATA, Patricia Hekia",Seat Allocation 98
19,"WILLIAMSON, Maurice Donald",Pakuranga Electorate
20,"GUY, Allen Nathan",Ōtaki Electorate
21,"FOSS, Craig Raymond Robert",Tukituki Electorate
22,"TREMAIN, Christopher James",Napier Electorate
23,"GOODHEW, Joanne Gay",Rangitata Electorate
24,"TISCH, William Lindsay",Waikato Electorate
25,"ROY, Eric Wilbur",Invercargill Electorate
26,"HUTCHISON, Charles Paul Telford",Hunua Electorate
27,"ARDERN, Philip Shane",Taranaki-King Country Electorate
28,"ADAMS, Amy Juliet",Selwyn Electorate
29,"LOTU-IIGA, Peseta Samuelu Masunu",Maungakiekie Electorate
30,"BRIDGES, Simon Joseph",Tauranga Electorate
31,"WOODHOUSE, Michael Allan",Seat Allocation 99
32,"BORROWS, Kerry James",Whanganui Electorate
33,"KAYE, Nicola Laura",Auckland Central Electorate
34,"LEE, Melissa Ji-Yun",Seat Allocation 102
35,"BAKSHI, Kanwaljit Singh",Seat Allocation 104
36,"YANG, Jian",Seat Allocation 106
37,"NGARO, Alfred",Seat Allocation 107
38,"SHANKS, Katrina May",Seat Allocation 110
39,"GOLDSMITH, Paul Jonathan",Seat Allocation 113
40,"HENARE, Raymond Tau",Seat Allocation 114
41,"DEAN, Jacqueline Isobel",Waitaki Electorate
42,"WAGNER, Nicola Joanne",Christchurch Central Electorate
43,"AUCHINVOLE, Chris",Seat Allocation 116
44,"UPSTON, Louise Claire",Taupō Electorate
45,"YOUNG, Jonathan Edgar Joseph",New Plymouth Electorate
46,"BLUE, Jacqueline Diane",Seat Allocation 117
47,"McCLAY, Todd Michael",Rotorua Electorate
48,"BENNETT, David Allister",Hamilton East Electorate
49,"MACINDOE, Timothy Harley",Hamilton West Electorate
