2014,,
ACT New Zealand,,
1,"WHYTE, Jamie Thomas",
2,"WANG, Kenneth Xiaoxuan",
3,"GRIEVE, Robin Barrie",
4,"HOULBROOKE, Beth Patricia",
5,"NICOLSON, Donald Owen",
6,"BERRY, Stephen James",
7,"KOVALENKO, Daria Alexeevna",
8,"VEALE, Gareth Rhys",
9,"CUMMINGS, Ian James",
10,"RUSSELL-MUTI, Sara Jane",
11,"SEVERIN, Toni Gae",
12,"PIRRIE, Phelan Michael",
13,"FLETCHER, Stephen James",
14,"OLSEN, David Edward",
15,"KEARNEY, Nicholas Norman",
16,"FITZPATRICK, Sean Daniel Thomas",
17,"EVANS, Richard Warwick",
18,"MILNE, Michael John",
19,"SMITH, Ronald Charles",
20,"KRONFELD, Timothy Paul",
21,"ATKINSON, Shane",
22,"BURROW, Michael Ian",
23,"CARLEY, Bruce Leo Benedict",
24,"CORBETT, Thomas Frederick",
25,"DAVIDSON, Alan Daniel",
26,"FERGUSSON, Thomas Wilson",
27,"GILBERT, Paul de Vallenger",
28,"GRAY, James Stephen",
29,"GRIEVE, Shaun Hayden",
30,"HAYCOCK, Bruce Kim",
31,"HUFFLETT, Paul Charles",
32,"JIANG, Peter",
33,"LENNOX, Kenneth Duncan",
34,"McCABE, Kathleen Patricia Louise",
35,"NELSON, Craig",
36,"NICHOLLS, Colin William",
37,"O'SULLIVAN, Graeme Arthur",
38,"REEDER, Joanne McLean",
39,"RUSSELL, Geoffrey Neil",
40,"THOMPSON, John Stanley",
41,"WILSON, Neil John",
Green Party,,
1,"STANTON TUREI, Metiria Leanne Agnes",Seat Allocation 4
2,"NORMAN, Russel William",Seat Allocation 14
3,"HAGUE, Kevin Grant",Seat Allocation 22
4,"SAGE, Eugenie Meryl",Seat Allocation 30
5,"HUGHES, Gareth Thomas Llewellyn",Seat Allocation 41
6,"DELAHUNTY, Catherine",Seat Allocation 48
7,"GRAHAM, Kennedy Gollan Montrose",Seat Allocation 57
8,"GENTER, Julie Anne",Seat Allocation 66
9,"MATHERS, Mojo Celeste",Seat Allocation 75
10,"LOGIE, Heather Janet",Seat Allocation 84
11,"CLENDON, David James",Seat Allocation 92
12,"SHAW, James Peter Edward",Seat Allocation 101
13,"ROCHE, Denise Maree",Seat Allocation 110
14,"BROWNING, Steffan John",Seat Allocation 119
15,"DAVIDSON, Marama Mere-Ana",
16,"COATES, Robert Barry Hobson",
17,"HART, John Stuart",
18,"KENNEDY, David John",
19,"ELLEY, Jeanette Susan",
20,"McDONALD, Jack Baxter",
21,"MOORHOUSE, David Peter",
22,"ROTMANN, Sea",
23,"LECKINGER, Richard John",
24,"PERINPANAYAGAM, Umesh",
25,"RUTHVEN, Susanne Marie",
26,"MOORE, Teresa Janet",
27,"LANGSBURY, Dora Roimata",
28,"WOODLEY, Tane Hohepa",
29,"PERLEY, Christopher John Keith",
30,"GOLDSMITH, Rachael Louise",
31,"KELCHER, John Michael",
32,"ROGERS, Daniel",
33,"WESLEY, Richard Laurence",
34,"SMITHSON, Anne-Elise",
35,"McALL, Malcolm Ley Stuart",
36,"FORD, Christopher John",
37,"HUNT, Reuben Timothy",
38,"BAILEY, Paul Edward",
39,"CONROY, Caroline Anne",
40,"COUTTS, Susan Jane",
41,"DOHERTY, Paul William",
42,"DREW, Madeleine Rose",
43,"GALLAGHER, Shane Anthony",
44,"HILL, Peter Selwyn",
45,"IRWIN, Frances Ruth",
46,"KANI, Henare Matua",
47,"MACLEAN, Gavin Wareham",
48,"MAYNE, Nicholas Robert",
49,"McLEAN, Ian Gordon",
50,"MOORE, Robert Bruce",
51,"ROBERTS, Sarah Ngaire",
52,"ROBERTSON, Colin Donald",
53,"ROBINSON, David John",
54,"SERVIAN, Mark Anthony",
55,"SIGGAARD, Dorthe",
56,"STANSFIELD, Brett Thomas",
57,"STEWART, Gary Todd",
58,"STRICKSON-PUA, Muamua Sofi",
59,"TUPOU, Patricia Margaret",
Labour Party,,
1,"CUNLIFFE, David Richard",New Lynn Electorate
2,"PARKER, David William",Seat Allocation 102
3,"ROBERTSON, Grant Murray",Wellington Central Electorate
4,"KING, Annette Faye",Rongotai Electorate
5,"ARDERN, Jacinda",Seat Allocation 107
6,"MAHUTA, Nanaia Cybele",Hauraki-Waikato Electorate
7,"TWYFORD, Philip Stoner",Te Atatū Electorate
8,"COSGROVE, Clayton James",Seat Allocation 111
9,"HIPKINS, Christopher John",Rimutaka Electorate
10,"MORONEY, Suzanne Mary",Seat Allocation 115
11,"LITTLE, Andrew James",Seat Allocation 118
12,"WALL, Louisa Hareruia",Manurewa Electorate
